gpLine	SeqName	Position
4	"ptg000001l"	1.0
5	"ptg000002l"	40756156.0
6	"ptg000003l"	78783721.0
7	"ptg000004l"	83012109.0
8	"ptg000005l"	99883007.0
9	"ptg000006l"	126590121.0
10	"ptg000007l"	216484338.0
11	"ptg000008l"	227790401.0
12	"ptg000009l"	278014423.0
13	"ptg000010l"	280452834.0
14	"ptg000011l"	300822346.0
15	"ptg000012l"	308890191.0
16	"ptg000013l"	325762557.0
17	"ptg000014l"	337535031.0
18	"ptg000015l"	348714746.0
19	"ptg000016l"	350903168.0
20	"ptg000017l"	391910877.0
21	"ptg000018l"	419762314.0
22	"ptg000019l"	426769326.0
23	"ptg000020l"	427130105.0
24	"ptg000021l"	447408221.0
25	"ptg000022l"	466868039.0
26	"ptg000023l"	481526852.0
27	"ptg000024l"	486157574.0
28	"ptg000025l"	490093616.0
29	"ptg000026l"	500693730.0
30	"ptg000027l"	504443718.0
31	"ptg000028l"	507352195.0
32	"ptg000029l"	554706591.0
33	"ptg000030l"	557701731.0
34	"ptg000031l"	566852422.0
35	"ptg000032l"	580596093.0
36	"ptg000033l"	593228729.0
37	"ptg000034l"	595144100.0
38	"ptg000035l"	614862816.0
39	"ptg000036l"	632739355.0
40	"ptg000037l"	637031492.0
41	"ptg000038l"	652732104.0
42	"ptg000039l"	656747000.0
43	"ptg000040l"	679312733.0
44	"ptg000041l"	699104483.0
45	"ptg000042l"	720920403.0
46	"ptg000043l"	723775586.0
47	"ptg000044l"	735917025.0
48	"ptg000045l"	745737218.0
49	"ptg000046l"	749644057.0
50	"ptg000047l"	750485918.0
51	"ptg000048l"	751701984.0
52	"ptg000049l"	755681047.0
53	"ptg000050l"	765924870.0
54	"ptg000051l"	776396558.0
55	"ptg000052l"	778136885.0
56	"ptg000053l"	786623323.0
57	"ptg000054l"	804780124.0
58	"ptg000055l"	805409708.0
59	"ptg000056l"	807561251.0
60	"ptg000057l"	819509569.0
61	"ptg000058l"	822366155.0
62	"ptg000059l"	834248516.0
63	"ptg000060l"	834969940.0
64	"ptg000061l"	837447955.0
65	"ptg000062l"	838980170.0
66	"ptg000063l"	843513792.0
67	"ptg000064l"	844354103.0
68	"ptg000065l"	846144748.0
69	"ptg000066l"	846202367.0
70	"ptg000067l"	847423676.0
71	"ptg000068l"	852516624.0
72	"ptg000069l"	857606592.0
73	"ptg000070l"	859723646.0
74	"ptg000071l"	863916273.0
75	"ptg000072l"	878823126.0
76	"ptg000073l"	885779638.0
77	"ptg000074l"	889832757.0
78	"ptg000075l"	893245325.0
79	"ptg000076l"	899429285.0
80	"ptg000077l"	900320165.0
81	"ptg000078l"	901046583.0
82	"ptg000079l"	901074607.0
83	"ptg000080c"	907382900.0
84	"ptg000081l"	911354369.0
85	"ptg000082l"	912025551.0
86	"ptg000083l"	913136752.0
87	"ptg000084l"	913351930.0
88	"ptg000085l"	914405564.0
89	"ptg000086l"	915619464.0
90	"ptg000087l"	918254272.0
91	"ptg000088l"	922876363.0
92	"ptg000089l"	923965874.0
93	"ptg000090l"	933041823.0
94	"ptg000091l"	937396641.0
95	"ptg000092l"	937886947.0
96	"ptg000093l"	942585609.0
97	"ptg000094l"	942941226.0
98	"ptg000095l"	944146170.0
99	"ptg000096l"	944195542.0
100	"ptg000097l"	945002585.0
101	"ptg000098l"	945196099.0
102	"ptg000099l"	948320705.0
103	"ptg000100l"	949744423.0
104	"ptg000101l"	952996004.0
105	"ptg000102l"	958470585.0
106	"ptg000103l"	959786968.0
107	"ptg000104l"	959907189.0
108	"ptg000105l"	961886878.0
109	"ptg000106l"	963779750.0
110	"ptg000107l"	965971358.0
111	"ptg000108l"	966646009.0
112	"ptg000109l"	967555496.0
113	"ptg000110l"	967582115.0
114	"ptg000111l"	969401214.0
115	"ptg000112l"	970583508.0
116	"ptg000113l"	971252142.0
117	"ptg000114l"	971393892.0
118	"ptg000115l"	972058086.0
119	"ptg000116l"	974082870.0
120	"ptg000117c"	974126150.0
121	"ptg000118l"	974185357.0
122	"ptg000119l"	975110223.0
123	"ptg000120l"	975761323.0
124	"ptg000121l"	975804891.0
125	"ptg000122l"	975890510.0
126	"ptg000123l"	975946210.0
127	"ptg000124l"	976108397.0
128	"ptg000125l"	976155075.0
129	"ptg000126l"	977362174.0
130	"ptg000127l"	977454028.0
131	"ptg000128l"	978122655.0
132	"ptg000129l"	978796767.0
133	"ptg000130l"	978829368.0
134	"ptg000131l"	978871235.0
135	"ptg000132l"	978948829.0
136	"ptg000133l"	979023791.0
137	"ptg000134l"	979386409.0
138	"ptg000135l"	979417941.0
139	"ptg000136l"	979554672.0
140	"ptg000137l"	979681928.0
141	"ptg000138l"	979710084.0
142	"ptg000139l"	979742525.0
143	"ptg000140l"	979809286.0
144	"ptg000141c"	979839311.0
145	"ptg000142l"	979890691.0
146	"ptg000143l"	980317304.0
147	"ptg000144l"	980537379.0
148	"ptg000145l"	980554177.0
149	"ptg000146l"	993244294.0
150	"ptg000147l"	993480977.0
151	"ptg000148l"	993535921.0
152	"ptg000149l"	993571796.0
153	"ptg000150l"	993709906.0
154	"ptg000151l"	993793359.0
155	"ptg000152l"	993857852.0
156	"ptg000153l"	993883806.0
157	"ptg000154l"	993940532.0
158	"ptg000155l"	994201648.0
159	"ptg000156l"	994775757.0
160	"ptg000157l"	995060675.0
161	"ptg000158l"	995116971.0
162	"ptg000159l"	995158030.0
163	"ptg000160l"	995189769.0
164	"ptg000161l"	995216994.0
165	"ptg000162l"	995265054.0
166	"ptg000163l"	995400232.0
167	"ptg000164l"	995430590.0
168	"ptg000165l"	995462303.0
169	"ptg000166l"	995493057.0
170	"ptg000167l"	995534427.0
171	"ptg000168l"	995798621.0
172	"ptg000169l"	995903695.0
173	"ptg000170l"	995946105.0
174	"ptg000171l"	996000257.0
175	"ptg000172l"	996082008.0
176	"ptg000173l"	996119652.0
177	"ptg000174l"	996162650.0
178	"ptg000175l"	996246424.0
179	"ptg000176l"	996289318.0
180	"ptg000177l"	996392221.0
181	"ptg000178l"	996433327.0
182	"ptg000179l"	996499959.0
183	"ptg000180l"	996701552.0
184	"ptg000181l"	996734580.0
185	"ptg000182l"	996773173.0
186	"ptg000183l"	996827373.0
187	"ptg000184l"	997069440.0
188	"ptg000185l"	997130621.0
