R1	Q1	R2	Q2
936529176	151165864	936537398	151174078
914479244	197596209	914486433	197603425
995632615	273858653	995640315	273866354
885310669	238692324	885316979	238698645
882766800	206308974	882775417	206317591
257364714	8595742	257388702	8619806
399036382	27779703	399043957	27787285
599000861	165305367	599011639	165316168
80900749	83469492	80909744	83478592
257372606	8607842	257395248	8630512
589185606	193641649	589193097	193649129
882510152	327578373	882516964	327585178
914470937	206745370	914479721	206754158
396395716	25586768	396404349	25595410
255253711	6773272	255271862	6791391
257105422	8412820	257124017	8431417
757684249	128853612	757687855	128857219
933046015	141094618	933049997	141098602
589186021	193652245	589193097	193659322
914642482	197741256	914649309	197748087
914470141	22218693	914479721	22228274
288329210	158230053	288334386	158235301
914474154	197588519	914489930	197604314
443864492	157192740	443869426	157197680
39703000	104268317	39711728	104277041
581239797	159479598	581246957	159486750
880713117	128192850	880722972	128202706
397080485	26025945	397084899	26030378
914437958	197550842	914443657	197556535
654645428	91174932	654649476	91178998
257334520	8586676	257352161	8604348
398594419	27326412	398599897	27331891
885594591	70276171	885605718	70287295
406547817	43289668	406552254	43294102
951139116	203660562	951143095	203664508
879594217	70874448	879599643	70879883
55026551	140056200	55032955	140062499
255411474	6921846	255434709	6945057
914618280	197717865	914625614	197725187
257071859	8387329	257090208	8405670
255235999	6750845	255250146	6765019
255147688	6675024	255170462	6697776
679750087	70187709	679755166	70192793
257032458	8339978	257054136	8361694
643859743	175252376	643866364	175258966
583634641	142083034	583647731	142096119
756840780	228174506	756847963	228181717
399579721	28525684	399584669	28530615
255260922	6784041	255275454	6798549
429791653	106167808	429798654	106174875
589027235	193505980	589035283	193513981
434636114	243991669	434642078	243997626
758181759	129344438	758190108	129352837
916807871	154740932	916813151	154746196
256354269	7709676	256377453	7732907
583925698	142362963	583932717	142369962
255068730	6578184	255082172	6591628
915809404	120030644	915813558	120034812
725389399	130102217	725395723	130108551
726866165	67916780	726876610	67927149
398279539	27075307	398287802	27083521
472832346	229931001	472840483	229939031
255217594	6716158	255235033	6733657
592249482	212710941	592265603	212727066
396683640	25639879	396687978	25644221
972523502	257705291	972534723	257716497
286584162	67313495	286589341	67318706
916644890	154583571	916649960	154588658
979992579	330370111	980004815	330382345
453094341	458678037	453100593	458684005
891620746	192074151	891624811	192078258
881592682	127385694	881607816	127400759
748479285	200164831	748484221	200169852
727806953	477779101	727811656	477783758
443381133	259785118	443385460	259789389
727324797	68383866	727334656	68393648
727806953	317718689	727812692	317724379
727806953	378787005	727812692	378792695
727806953	410678860	727812692	410684550
727806953	445636953	727812692	445642643
891543258	213688481	891546786	213691997
894480687	199380065	894484336	199383715
881436515	70973131	881446626	70983253
469549996	135026748	469555502	135032260
453094439	458677645	453100593	458683505
936403347	266140625	936408327	266145592
936403347	253719861	936408327	253724828
880028608	127578548	880036519	127586480
194016750	98140243	194023378	98146860
279349480	149901469	279353723	149905645
725264382	130004723	725270328	130010652
257318293	8572524	257329011	8583231
934993331	407168426	934996831	407171932
757890815	129056570	757899461	129065191
43625887	176020907	43634159	176029276
972919804	239932977	972925457	239938614
97472283	125885983	97477075	125890771
473512264	202896613	473516813	202901184
256352884	7708846	256365451	7721446
880822158	93461989	880825978	93465797
880822158	211970207	880825978	211974015
880822158	225528764	880825978	225532572
936429620	253740393	936433440	253744201
936429620	480387888	936433440	480391696
934993331	151499788	934996831	151503295
934993331	405324933	934996831	405328440
935669760	212977507	935684893	212992638
20990430	57171297	20996845	57177741
583006573	141478917	583010371	141482724
885167148	82825050	885172522	82830423
280587794	194306109	280593423	194311753
187044121	174902298	187048602	174906706
40230518	104731914	40243622	104745018
942813674	258879449	942820118	258885922
942813674	354326003	942820118	354332476
631307901	197326324	631311560	197330020
880198021	127739278	880209297	127750552
255117470	6650363	255131806	6664711
933495342	224745259	933499005	224748916
255133455	6661183	255142659	6670402
29467038	19997817	29480925	20011786
204676707	153524292	204680288	153527871
936487072	259498130	936493602	259504669
20950532	57133163	20955493	57138173
256896410	8226012	256911703	8241290
963302147	419709660	963306927	419714411
628306468	269707377	628311554	269712494
35021745	33779322	35028214	33785809
98158226	145459749	98168421	145469853
583472446	141926720	583482413	141936689
754875039	201849311	754879659	201853985
21100671	57275069	21105529	57279888
894494005	199395703	894500985	199402697
590254159	224088847	590258677	224093353
972714284	148896074	972724621	148906442
752231861	10041037	752236102	10045262
206749207	121029365	206752944	121033094
255226449	6740609	255232237	6746386
650997714	171409778	651001342	171413404
182628695	155479570	182635101	155485981
935519199	239917331	935524251	239922376
881029463	126782809	881037609	126790946
725224568	129963675	725229330	129968417
582169673	90647117	582191944	90669386
631298816	197317278	631305754	197324224
82185966	178122713	82192081	178128864
586329217	159507704	586340462	159518968
757953702	129124966	757957958	129129193
997357114	361724683	997362932	361730544
997357114	360601830	997362932	360607691
302665782	24220649	302669528	24224368
997357114	361724725	997362932	361730586
997357114	360601872	997362932	360607733
934809390	148382004	934819690	148392268
256061748	7502597	256068816	7509643
246001521	91757274	246004947	91760747
966401393	62537041	966405544	62541173
95990576	124408476	95997738	124415637
934202225	313693656	934209037	313700462
894471863	199371540	894478736	199378424
679610633	206284200	679614586	206288148
255332980	6885856	255357346	6910194
724937097	129674855	724941620	129679370
760834807	144878099	760840176	144883498
757661236	128830451	757670086	128839330
135454025	216364887	135459097	216369995
217658933	224362368	217663244	224366707
631289160	197307398	631294243	197312501
269968528	137649952	269973194	137654617
654656843	91186395	654662052	91191611
399035913	27778408	399040584	27783078
193255366	97366115	193259312	97370050
96355796	124786148	96360091	124790470
256301166	7645657	256315689	7660159
303250672	24811032	303255833	24816176
891766386	192208270	891773930	192215814
207626399	121847693	207630450	121851739
255094184	6621982	255102768	6630581
257585578	8797495	257591082	8803001
589308307	193768146	589313254	193773096
43711889	176093848	43724836	176106791
255287515	6824663	255303897	6841055
935468573	239870482	935473979	239875853
226348941	161393359	226353554	161397956
564055493	181264823	564062746	181272060
936043615	186330915	936050308	186337610
470128299	135580378	470134728	135586807
727263307	68314446	727267499	68318630
477155367	116535131	477161202	116540944
727795980	378775398	727806584	378786000
727795980	445847341	727806584	445857943
727795980	477767494	727806584	477778096
727795980	445625348	727806584	445635950
883874554	80543138	883882089	80550677
96501236	124926919	96506409	124932113
880962960	80924272	880966676	80927974
936429856	148355501	936433440	148359075
489934887	199146152	489939964	199151202
255909005	7346039	255925599	7362601
237408857	15677280	237415345	15683728
727798410	410669676	727806584	410677855
993393655	338817897	993411996	338836232
726761150	67830639	726766516	67836007
933043415	495711870	933049997	495718452
396873121	25803791	396883447	25814102
326111799	84639631	326116344	84644152
616696189	201156338	616700846	201160969
397085796	26030172	397089244	26033635
399770869	44323803	399778745	44331643
655056308	252458152	655064452	252466324
279241743	149800811	279245587	149804648
193681217	97771887	193687521	97778237
724861353	129597784	724868742	129605102
749347369	67005189	749362384	67020174
326060802	84587037	326068305	84594541
914481831	206748452	914487528	206754158
881607477	127400767	881611672	127404975
914840358	215701188	914848381	215709213
914481831	22222568	914487528	22228274
81134224	83710645	81139658	83716091
934203194	136393369	934209037	136399212
51370525	139220939	51376019	139226376
399491502	28412033	399499545	28420093
616606083	201062210	616611695	201067821
206884397	121163838	206889462	121168863
83125699	223123400	83132315	223130005
882381022	128196244	882397026	128212252
880676987	128150858	880681599	128155471
326729718	85241705	326733903	85245907
326096842	84625003	326100479	84628655
997357114	347824919	997362584	347830428
95837051	124246297	95842764	124251960
453094982	382417400	453100593	382422811
399752649	44207246	399759165	44213796
934309520	10934474	934320100	10945079
782853475	190912388	782856677	190915615
753932072	71185157	753937068	71190150
881077410	126838247	881082076	126842944
725072209	129812429	725078204	129818459
95881475	124302502	95886009	124307001
880084418	265823929	880093524	265833001
477702567	117050355	477708868	117056676
308646161	179526606	308650786	179531190
325887628	84410902	325891469	84414718
477021203	116392547	477027623	116399010
881696339	127492223	881701303	127497190
879471480	70755500	879476882	70760908
